geneSymbol	healthy	V2	V3	V4	V5	disease	V7	V8	V9	V10
SPP1	-1.145826902323795	6.612225315516269	1.3511184971357204	1.9775760076417017	2.643294356121112	8.208009087988525	8.505906282533301	5.738626556845092	6.727509874790502	8.786348636315395
MMP9	0.2450389393455454	5.397501696206508	2.421207245874647	2.689376346768399	2.040701768923933	8.941449768753367	8.0186414076935	5.752700238274313	7.148539051972879	7.840198446394476
TREM2	-2.487509221775233	1.8570134567483974	0.016290563196660078	-0.8662463874287519	1.8201601614022707	5.173943482382691	2.5344025294478745	3.4977872456195356	3.134511952028077	4.3675950452286365
WISP1	2.307599700806364	3.567378781046235	1.9800205852057833	1.6040090726135012	3.603140381648767	6.485871795235566	6.899072914017148	4.743646367315338	5.344607048790808	5.5544287062661795
RBP5	-1.892098085302928	-0.553464764631867	-1.846396700091884	-1.5610457186069089	-0.36350386304153454	1.3562355799005674	1.1209333851796026	0.0985697369836352	0.7503911125865271	0.55258914028197
CLEC10A	1.9122579756101123	3.921172383551386	2.22408358900308	2.320506117841038	4.125625276711235	5.876398009902412	6.380807480975126	5.360096402153223	5.1168482956714785	6.129764594726467
C4B	0.5336107086035292	1.2755007759339152	0.2849571392845693	0.6987685293394715	2.503494930718838	3.946581143444808	4.750212706968643	2.591410849209587	2.5673917430946087	3.964789765313649
TMEM26	-4.4886125252079205	-1.210145927317422	-2.225544301115662	-1.3614751698089993	-2.1481247943804087	1.4451856000898398	1.0582564907999472	0.36482339572094286	1.811114726578849	0.9804010917328717
FTL	8.76814235054364	9.987264909520883	10.254177226254228	10.599534997865323	9.625088673380699	12.893652813856555	12.05915722484093	12.336705867834045	12.561212024145394	12.093688552101233
LUM	6.6251379112368936	7.728624344971569	7.4359441415241685	8.900409825245207	7.241114139938737	11.163277879015759	10.594135032378487	9.533718946285699	10.552996159393757	9.554854276538242
GPR176	2.808932579337404	4.098097318400158	3.265696766821896	4.2728626686394104	3.648873058413526	6.372232929539041	6.125951734545449	5.414724126659982	5.580664559937564	5.208640746624257
VNN2	-0.14194330469779856	0.8617125470830003	0.10649364701390437	2.4371527982770185	0.20574037382361196	4.326020244913076	4.05430307790991	4.130026235690343	3.7689282418149515	4.411314970362892
S100A12	-4.035883717120498	-3.1599695914590504	-2.5695174581056652	-0.39017624421157504	-2.1481247943804087	2.1436545474757827	2.0454399405117014	1.7598460280234536	1.0884385098045861	1.737591637044103
TCL1A	-3.9933001686083944	-3.050663169143628	-2.6192135369982936	-1.4687442968937559	-2.1481247943804087	3.121819745549212	2.0198456043018687	0.5558772122204878	2.060957296975931	3.3914434618090525
IL9R	-3.2539967559389713	-3.2187379591486027	-2.6900695495921636	-2.2662197676827374	-2.1481247943804087	2.1380092487552016	0.6500784866576345	0.19416581916951947	0.1735706977604891	1.2791149858564026
VNN1	-0.16509957817023266	1.0671232908238104	1.2981565291377255	1.7881870734709682	0.8328062579036762	4.399726887427286	3.4684554535953036	2.279044164604285	2.8538020634980703	3.931011184952444
SULT1C2	-0.18562247738285922	0.9410860205227153	0.6440663549755459	1.3535365627161215	1.040298208908516	4.718443835283052	3.8794213425572512	2.0199772200052566	3.4641646942765623	4.06378380283474
RP11-613M10.8	-6.370271528368757	-0.6273730069721792	-0.005071262412727908	-5.098448542647532	-0.8214076598194214	2.8125231382882205	1.4475953042376581	2.1902652933816236	2.1793944927075097	0.3962438932087605
IQCJ-SCHIP1	-6.370254082876187	0.07579466415873312	-1.2007460520542557	-5.098447519924028	-2.1481247943804087	2.480319761038828	1.1820605168311176	1.1413372978757645	1.102274348748669	0.7708531910792978
ZNF577	-5.442792011763836	0.7665494810928125	1.7521077583674007	-1.9185673642105692	-2.1481247943804087	2.6037848137274766	3.2510059878506157	1.6027523413253233	2.8136392799744514	1.828551989610412
VMO1	-1.238575549207644	-0.26845947064685893	-1.0702576262363366	-1.3125351555786187	-0.7690822455472727	3.543333470625366	4.7156253648488455	3.474328867256913	3.4620329544940827	3.8915639613109447
SP110	3.159168299166581	3.787049750419591	3.1449127263761056	2.7461039856948393	3.3537790323350234	5.221117690383346	5.9779123641272855	5.506234488317911	5.796900173761523	5.838228057575504
SPRR2A	-0.5046267633698144	1.2796912130542517	-0.4478053961639494	-2.6964115346733317	-0.702539868471282	5.5430574313457495	6.124317024196754	3.754698041501856	5.123488639395049	5.758450234371267
AC015688.3	-0.7325619084781805	-0.16373331611501954	-0.1869298683095627	-1.2768665965150534	-0.18618486941454207	1.9149072897018218	2.3982877693009783	1.487377770411838	1.4030562372672324	2.857059403356847
NME8	-1.3011816693502931	-0.29147748985240424	-0.9193701405601525	-2.3942526798970953	-1.2460004802325377	0.2943804598303917	1.2846833901729806	1.0114617363902159	1.4415040349195192	1.3861599966572742
INHBA	4.902167026296615	3.8931852144484647	3.9309572310964027	3.627049719150112	3.664749098530288	6.035823623264415	7.587487590695783	6.578066633439286	6.102561398060239	7.437784007696325
CLEC5A	2.6632829193026155	2.5924865458780744	2.260430268484371	1.2993877380653236	1.5926996805647562	4.396748289131	5.6431848990673865	5.464682647894572	4.475874314744184	6.206876591981623
SOAT1	5.782496740744949	5.129929179753911	4.485088734524807	4.52578580565269	4.585138989326152	7.056622201520045	7.504964255219134	7.575668781876727	7.560647746298093	8.07356220338227
SLC9A7P1	-1.6004014097191557	-0.27311763105084447	-0.368070739499905	-2.7226443159016465	-0.7025370608684263	1.5776044342118423	1.4784604502450571	1.0963677903176074	0.5424047707155192	1.6450954332202505
