geneID	HS01	HS02	HS03	HS04	HS05	CL08	CL10	CL11	CL12	CL13
A2ML1	8.515969202262388	8.081331717955994	8.010748768696075	7.723186054392457	7.816100954375577	7.921051973850113	3.9786899789973567	4.326050473603814	2.9074818263172424	5.7698164707117146
AADAC	3.792404059960011	3.1521703620878334	3.4318498094477063	3.854448621819547	4.13064909270164	2.2504539641568178	-3.496329043899245	0.18801510365992732	-0.9897269756614681	-0.574042448150071
AADACL2	6.89358129824251	7.033013925216671	6.10738155291442	6.708411060944036	6.111224573634918	5.22465708750014	-5.855328846482908	2.9391012424215224	2.0352023741044856	3.5527222180829994
AARD	2.8276302102635515	1.7260855625324507	2.5736577668464786	2.1174550523348015	2.7914286986555132	1.0379130791655278	0.2844564891708442	0.22060424670242276	-0.4163502838580516	0.17728749991841433
ABCA10	4.479565466804899	4.399164463375747	6.298475102509532	4.003664330975006	2.8186623953303824	2.3035912077859924	2.9714071692844777	2.517771643893465	2.490816423409795	0.8388837385996286
ABCA12	8.617937061339079	7.817880985746836	7.895101844784793	7.6116738390550625	7.970351883217282	7.347195389731058	3.3340681177729925	5.294765614158554	4.715553023623916	6.710295770548893
ABCA4	3.50073482793728	2.0134504469693035	2.6149880865415214	0.6120459263277703	2.1497549619619285	-1.732793944974507	-1.772893309201064	0.7698021346489513	-2.159491517884587	-1.4986780914644995
ABCA8	5.550902701468708	6.139862789358103	6.680817587201453	6.889918249928651	6.116864384508562	3.0471588900422817	4.616005194364838	3.212222583148705	3.3183228581278486	4.13422263062265
ABHD12B	5.107453372554938	4.85448395347555	4.835452370477056	4.213360005948199	4.687919182343409	3.256377873786542	1.8438652321845106	2.167204948010877	1.784282631873342	3.1263061786554944
ABHD16B	-0.28885623277128614	0.15547137761918003	-0.4542235315651734	0.2523143960025377	0.8328038562690494	2.23695941509202	2.2432056069117534	2.494120255543237	1.955626109303291	1.6568571672474521
ABI3	1.5449838408952592	1.8916649142317044	0.7027103977838665	1.2291344088330993	-0.044339095936835375	4.873756461317532	5.099424788495408	5.132160196024035	5.292260945741853	4.991826956495469
AC007325.2	4.924457400836164	4.582365409055742	4.581544173468713	4.856453109859528	4.660583192678627	2.191719193027951	-2.9157054454781117	-2.124934808168763	-0.5824219077325372	0.5016924903077487
AC009950.1	0.909174753138379	2.432334558471774	1.9980034122433226	2.182161836938492	-2.1481247943804087	3.811332881229184	4.272955845720719	4.582787784260942	4.384944244727587	4.8582861964946655
AC013264.1	2.854666143493868	3.9424737963472154	2.414405122316485	3.8923003841766897	3.5287746148366694	3.8442986893631215	4.60845340166599	6.064666076012628	5.540759966079793	6.273606863932385
AC015688.3	-0.7325619084781805	-0.16373331611501954	-0.1869298683095627	-1.2768665965150534	-0.18618486941454207	1.9149072897018218	2.3982877693009783	1.487377770411838	1.4030562372672324	2.857059403356847
AC025335.1	7.163353861568591	6.937240771027913	6.516411203374902	6.88219645552364	6.266341570580989	5.5669608162093	2.3240847707015138	3.2663861469080793	3.175256910540713	3.691978699289652
AC093616.4	-2.292966266257255	0.38624966642830666	0.9265028000734447	-0.06483315164323873	-2.1481247943804087	1.8289771393183978	2.9634554634515298	3.9338561417626186	3.145485793750695	1.5273540061334934
AC116366.6	0.9761067834775092	1.6088036984322922	2.327492616337343	1.4107790601764552	0.8328067587965823	2.945887248056047	3.8315027338933376	4.435987107182357	4.049359780808011	3.5594157426906805
AC141272.1	-6.370271528368757	-5.054478699330449	-6.473068541154679	-5.098448542647532	-2.1481247943804087	3.353721069181372	1.434123839093216	1.7751921224882772	3.8088791387322223	1.9113739859009082
ACACB	5.462330018376179	6.339727750762784	7.093696775451456	6.273152117207809	6.5952563872287095	4.003171964280825	5.365690849408319	4.013562886914421	4.18260321876558	4.138169624021572
ACAP1	2.5296873165108584	2.8977809923829123	2.7902525863758614	2.820793804307483	1.5509215651900323	5.0119440926680765	5.262789042112036	5.642340571285762	5.836118653607433	4.407354363915054
ACER1	5.3522075911561835	4.957721505479819	4.584640902304816	4.434322962969317	4.2523448250795655	3.574812421787877	-2.915498332853557	0.4284263216053546	0.509163889773984	2.1429862564036815
ACOD1	-4.774917743220457	-5.054480852780055	-6.473068541154679	-5.098448542647532	-0.702536180128382	1.2698506775502445	3.4988751220384264	6.685820441632961	5.473851496933021	4.301195525583001
ACP2	3.098738997776814	3.86703847500857	3.648202251645469	3.9822994129982434	3.6635043012696844	6.292654998345069	6.205842212525366	6.5723679388635805	6.686711752709307	6.69251413677725
ACP5	3.919844034029268	3.377745668397925	1.5984418172703039	4.5821084903377685	3.5094342511567502	7.898226778606894	6.4709970174974245	6.345065732958455	6.632185945539121	6.607918730394588
ACRBP	-0.19632912226918792	-0.2986525483215381	0.2369807270013887	-0.25995050654764645	-2.1481247943804087	1.4141924236289016	1.9028350850889395	1.1930682575131384	2.184876795824889	2.0116679681200313
ACSL5	2.3986881129432067	3.7470662616014057	3.3241385117933917	3.5628100417631425	3.6454236188996405	5.849800795086487	6.162874202551212	5.9743578681857175	6.324571207216386	6.571908402035766
ACSL6	-1.6365586692209055	-0.050470217429602296	-0.09074771580277342	-0.826799200637583	1.890728063252707	1.8564817740880712	1.5269817779347916	2.141545279925167	3.0303034330205207	2.877474798101455
ACTB	9.936935295530771	10.095406940163707	9.398032533398842	9.276338726241583	9.908923748692315	11.808158556843264	12.023011392819352	11.615071378105307	12.014398223840503	11.230597555972503
